sample	strainID	genus	species	count
21_B6	HAMBI-2792	Moraxella	canis	0
21_B6	HAMBI-3031	Niabella	yanshanensis	37
21_B6	HAMBI-3237	Microvirga	lotononidis	13
21_BS1	HAMBI-0006	Pseudomonas	putida	1140
21_BS1	HAMBI-0097	Acinetobacter	lwoffii	0
21_BS1	HAMBI-0105	Agrobacterium	tumefaciens	388
21_BS1	HAMBI-0262	Brevundimonas	bullata	0
21_BS1	HAMBI-0403	Comamonas	testosteroni	324
21_BS1	HAMBI-1279	Hafnia	alvei	42
21_BS1	HAMBI-1287	Citrobacter	koseri	4498
21_BS1	HAMBI-1292	Morganella	morganii	55
21_BS1	HAMBI-1299	Kluyvera	intermedia	20
21_BS1	HAMBI-1842	Sphingobium	yanoikuyae	323
21_BS1	HAMBI-1896	Sphingobacterium	spiritivorum	1405
21_BS1	HAMBI-1972	Aeromonas	caviae	2370
21_BS1	HAMBI-1977	Pseudomonas	chlororaphis	1786
21_BS1	HAMBI-1988	Chitinophaga	sancti	0
21_BS1	HAMBI-2159	Paraburkholderia	caryophylli	2
21_BS1	HAMBI-2160	Bordetella	avium	44
21_BS1	HAMBI-2164	Cupriavidus	necator	13
21_BS1	HAMBI-2443	Paracoccus	denitrificans	7
21_BS1	HAMBI-2494	Paraburkholderia	kururiensis	13
21_BS1	HAMBI-2659	Stenotrophomonas	maltophilia	156
21_BS1	HAMBI-2792	Moraxella	canis	0
21_BS1	HAMBI-3031	Niabella	yanshanensis	14
21_BS1	HAMBI-3237	Microvirga	lotononidis	1
21_BS2	HAMBI-0006	Pseudomonas	putida	869
21_BS2	HAMBI-0097	Acinetobacter	lwoffii	0
21_BS2	HAMBI-0105	Agrobacterium	tumefaciens	366
21_BS2	HAMBI-0262	Brevundimonas	bullata	0
21_BS2	HAMBI-0403	Comamonas	testosteroni	399
21_BS2	HAMBI-1279	Hafnia	alvei	52
21_BS2	HAMBI-1287	Citrobacter	koseri	4408
21_BS2	HAMBI-1292	Morganella	morganii	43
21_BS2	HAMBI-1299	Kluyvera	intermedia	24
21_BS2	HAMBI-1842	Sphingobium	yanoikuyae	357
21_BS2	HAMBI-1896	Sphingobacterium	spiritivorum	1032
21_BS2	HAMBI-1972	Aeromonas	caviae	2363
21_BS2	HAMBI-1977	Pseudomonas	chlororaphis	1523
21_BS2	HAMBI-1988	Chitinophaga	sancti	0
21_BS2	HAMBI-2159	Paraburkholderia	caryophylli	3
21_BS2	HAMBI-2160	Bordetella	avium	49
21_BS2	HAMBI-2164	Cupriavidus	necator	9
21_BS2	HAMBI-2443	Paracoccus	denitrificans	4
21_BS2	HAMBI-2494	Paraburkholderia	kururiensis	4
21_BS2	HAMBI-2659	Stenotrophomonas	maltophilia	226
21_BS2	HAMBI-2792	Moraxella	canis	0
21_BS2	HAMBI-3031	Niabella	yanshanensis	16
21_BS2	HAMBI-3237	Microvirga	lotononidis	5
21_BS3	HAMBI-0006	Pseudomonas	putida	640
21_BS3	HAMBI-0097	Acinetobacter	lwoffii	0
21_BS3	HAMBI-0105	Agrobacterium	tumefaciens	248
21_BS3	HAMBI-0262	Brevundimonas	bullata	0
21_BS3	HAMBI-0403	Comamonas	testosteroni	218
21_BS3	HAMBI-1279	Hafnia	alvei	45
21_BS3	HAMBI-1287	Citrobacter	koseri	3629
21_BS3	HAMBI-1292	Morganella	morganii	48
21_BS3	HAMBI-1299	Kluyvera	intermedia	26
21_BS3	HAMBI-1842	Sphingobium	yanoikuyae	491
21_BS3	HAMBI-1896	Sphingobacterium	spiritivorum	1351
21_BS3	HAMBI-1972	Aeromonas	caviae	2217
21_BS3	HAMBI-1977	Pseudomonas	chlororaphis	1761
21_BS3	HAMBI-1988	Chitinophaga	sancti	0
21_BS3	HAMBI-2159	Paraburkholderia	caryophylli	2
21_BS3	HAMBI-2160	Bordetella	avium	31
21_BS3	HAMBI-2164	Cupriavidus	necator	12
21_BS3	HAMBI-2443	Paracoccus	denitrificans	14
