sample	strainID	genus	species	count	count_correct	f_correct
15_BS6	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_BS6	HAMBI-0403	Comamonas	testosteroni	573	422	0.031154652999294766
15_BS6	HAMBI-1279	Hafnia	alvei	12	24	0.0017943329159474891
15_BS6	HAMBI-1287	Citrobacter	koseri	6177	6413	0.4735753010513169
15_BS6	HAMBI-1292	Morganella	morganii	56	209	0.015409089901142868
15_BS6	HAMBI-1299	Kluyvera	intermedia	12	28	0.0021038360991008933
15_BS6	HAMBI-1842	Sphingobium	yanoikuyae	576	757	0.055871232213328424
15_BS6	HAMBI-1896	Sphingobacterium	spiritivorum	1151	1608	0.11872545420867188
15_BS6	HAMBI-1972	Aeromonas	caviae	2694	427	0.03154179177051478
15_BS6	HAMBI-1977	Pseudomonas	chlororaphis	510	862	0.06363140089884589
15_BS6	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_BS6	HAMBI-2159	Paraburkholderia	caryophylli	0	0	0
15_BS6	HAMBI-2160	Bordetella	avium	48	361	0.02662860701401368
15_BS6	HAMBI-2164	Cupriavidus	necator	7	70	0.005172979867893835
15_BS6	HAMBI-2443	Paracoccus	denitrificans	5	64	0.004761392910409225
15_BS6	HAMBI-2494	Paraburkholderia	kururiensis	18	171	0.012631061176621156
15_BS6	HAMBI-2659	Stenotrophomonas	maltophilia	324	282	0.020827752431107627
15_BS6	HAMBI-2792	Moraxella	canis	0	0	0
15_BS6	HAMBI-3031	Niabella	yanshanensis	41	99	0.0073120580979380715
15_BS6	HAMBI-3237	Microvirga	lotononidis	3	5	3.696766971323037e-4
21_B1	HAMBI-0006	Pseudomonas	putida	2369	264	0.01825327410198332
21_B1	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
21_B1	HAMBI-0105	Agrobacterium	tumefaciens	531	2096	0.14515173560205227
21_B1	HAMBI-0262	Brevundimonas	bullata	0	0	0
21_B1	HAMBI-0403	Comamonas	testosteroni	181	217	0.015029809343230992
21_B1	HAMBI-1279	Hafnia	alvei	55	181	0.012560041306159774
21_B1	HAMBI-1287	Citrobacter	koseri	1433	2423	0.16778928879740962
21_B1	HAMBI-1292	Morganella	morganii	120	728	0.05042858800839379
21_B1	HAMBI-1299	Kluyvera	intermedia	33	128	0.008835908232384197
21_B1	HAMBI-1842	Sphingobium	yanoikuyae	193	413	0.028591021713669163
21_B1	HAMBI-1896	Sphingobacterium	spiritivorum	1498	3408	0.2359863752820875
21_B1	HAMBI-1972	Aeromonas	caviae	7347	1897	0.13137278567183183
21_B1	HAMBI-1977	Pseudomonas	chlororaphis	378	1040	0.07202772679272916
21_B1	HAMBI-1988	Chitinophaga	sancti	0	0	0
21_B1	HAMBI-2159	Paraburkholderia	caryophylli	1	25	0.0017062893052143032
21_B1	HAMBI-2160	Bordetella	avium	35	428	0.02965390251393861
21_B1	HAMBI-2164	Cupriavidus	necator	8	130	0.009028993395710255
21_B1	HAMBI-2443	Paracoccus	denitrificans	25	525	0.03635889077505127
21_B1	HAMBI-2494	Paraburkholderia	kururiensis	4	62	0.004286806938268995
